booking_reference,amount,payment_method,status,paid_at
BK-0001,300.00,credit_card,succeeded,2026-09-20T10:15:00+00:00
BK-0003,120.00,paypal,succeeded,2026-09-21T14:00:00+00:00
BK-0004,95.00,credit_card,succeeded,2026-09-22T09:30:00+00:00
BK-0005,55.00,credit_card,refunded,2026-09-18T11:00:00+00:00
BK-0006,180.00,debit_card,succeeded,2026-09-23T16:45:00+00:00
BK-0008,170.00,debit_card,succeeded,2026-09-16T09:00:00+00:00
BK-0009,45.00,debit_card,succeeded,2026-09-16T20:45:00+00:00
BK-0010,45.00,credit_card,succeeded,2026-09-16T20:15:00+00:00
BK-0011,90.00,credit_card,succeeded,2026-09-16T11:00:00+00:00
BK-0013,45.00,debit_card,refunded,2026-09-17T15:15:00+00:00
BK-0017,340.00,paypal,refunded,2026-09-17T13:15:00+00:00
BK-0018,135.00,credit_card,succeeded,2026-09-17T12:15:00+00:00
BK-0019,215.00,credit_card,succeeded,2026-09-17T09:15:00+00:00
BK-0021,135.00,paypal,succeeded,2026-09-17T19:30:00+00:00
BK-0024,45.00,debit_card,succeeded,2026-09-18T14:45:00+00:00
BK-0025,45.00,paypal,succeeded,2026-09-18T13:00:00+00:00
BK-0026,90.00,paypal,succeeded,2026-09-19T20:15:00+00:00
BK-0028,260.00,credit_card,succeeded,2026-09-20T13:30:00+00:00
BK-0029,90.00,debit_card,succeeded,2026-09-21T11:15:00+00:00
BK-0030,90.00,credit_card,refunded,2026-09-22T18:30:00+00:00
BK-0031,90.00,credit_card,succeeded,2026-09-22T18:30:00+00:00
BK-0032,45.00,paypal,refunded,2026-09-22T20:15:00+00:00
BK-0033,45.00,paypal,succeeded,2026-09-23T14:00:00+00:00
BK-0034,180.00,debit_card,succeeded,2026-09-23T12:15:00+00:00
BK-0036,90.00,debit_card,succeeded,2026-09-24T18:15:00+00:00
BK-0037,45.00,credit_card,succeeded,2026-09-24T19:00:00+00:00
BK-0039,180.00,paypal,succeeded,2026-09-25T16:00:00+00:00
BK-0040,170.00,debit_card,succeeded,2026-09-26T17:30:00+00:00
BK-0041,260.00,paypal,succeeded,2026-09-27T15:45:00+00:00
BK-0043,90.00,paypal,succeeded,2026-09-27T17:45:00+00:00
BK-0044,45.00,paypal,succeeded,2026-09-27T12:30:00+00:00
BK-0045,45.00,credit_card,succeeded,2026-09-27T15:15:00+00:00
BK-0046,45.00,debit_card,succeeded,2026-09-28T16:45:00+00:00
BK-0047,45.00,paypal,succeeded,2026-09-29T09:45:00+00:00
BK-0048,90.00,debit_card,succeeded,2026-09-29T17:15:00+00:00
BK-0049,90.00,credit_card,succeeded,2026-09-29T14:45:00+00:00
BK-0051,90.00,debit_card,succeeded,2026-09-30T18:00:00+00:00
BK-0052,45.00,debit_card,succeeded,2026-09-30T09:30:00+00:00
BK-0053,45.00,debit_card,succeeded,2026-09-30T13:45:00+00:00
BK-0054,90.00,paypal,succeeded,2026-09-30T09:30:00+00:00
BK-0055,45.00,paypal,refunded,2026-09-30T09:15:00+00:00
BK-0056,90.00,credit_card,succeeded,2026-09-30T16:00:00+00:00
BK-0057,45.00,debit_card,succeeded,2026-09-30T11:00:00+00:00
BK-0060,90.00,paypal,succeeded,2026-09-30T10:15:00+00:00
BK-0061,170.00,paypal,succeeded,2026-09-30T10:00:00+00:00
BK-0062,90.00,credit_card,refunded,2026-09-30T19:30:00+00:00
BK-0063,170.00,credit_card,refunded,2026-09-30T14:45:00+00:00
BK-0064,45.00,paypal,succeeded,2026-09-30T13:45:00+00:00
BK-0065,90.00,debit_card,succeeded,2026-09-30T10:30:00+00:00
BK-0066,135.00,paypal,refunded,2026-09-30T19:45:00+00:00
BK-0068,90.00,debit_card,succeeded,2026-09-30T13:30:00+00:00
BK-0070,90.00,paypal,succeeded,2026-09-30T20:45:00+00:00
BK-0071,45.00,credit_card,succeeded,2026-09-30T13:15:00+00:00
BK-0072,90.00,paypal,succeeded,2026-09-30T16:30:00+00:00
BK-0073,45.00,debit_card,succeeded,2026-09-30T16:30:00+00:00
BK-0074,45.00,credit_card,succeeded,2026-09-30T10:15:00+00:00
BK-0075,90.00,paypal,succeeded,2026-09-30T17:30:00+00:00
BK-0076,135.00,debit_card,succeeded,2026-09-30T13:00:00+00:00
BK-0077,45.00,credit_card,succeeded,2026-09-30T13:15:00+00:00
BK-0078,90.00,credit_card,succeeded,2026-09-30T13:45:00+00:00
BK-0079,90.00,credit_card,succeeded,2026-09-30T16:00:00+00:00
BK-0080,215.00,paypal,succeeded,2026-09-30T19:00:00+00:00
BK-0082,45.00,debit_card,succeeded,2026-09-30T18:15:00+00:00
BK-0083,125.00,debit_card,succeeded,2026-09-30T18:45:00+00:00
BK-0084,45.00,paypal,succeeded,2026-09-30T12:15:00+00:00
BK-0085,45.00,credit_card,succeeded,2026-09-30T10:15:00+00:00
BK-0086,90.00,debit_card,refunded,2026-09-30T09:15:00+00:00
BK-0087,90.00,debit_card,refunded,2026-09-30T19:15:00+00:00
BK-0088,135.00,credit_card,succeeded,2026-09-30T10:15:00+00:00
BK-0089,45.00,credit_card,refunded,2026-09-30T11:30:00+00:00
BK-0091,90.00,paypal,refunded,2026-09-30T13:45:00+00:00
BK-0092,45.00,debit_card,succeeded,2026-09-30T14:30:00+00:00
BK-0094,90.00,credit_card,succeeded,2026-09-30T13:00:00+00:00
BK-0095,90.00,paypal,succeeded,2026-09-30T13:15:00+00:00
BK-0096,90.00,debit_card,succeeded,2026-09-30T16:30:00+00:00
BK-0097,170.00,credit_card,refunded,2026-09-30T15:45:00+00:00
BK-0098,170.00,paypal,refunded,2026-09-30T16:00:00+00:00
BK-0099,45.00,debit_card,succeeded,2026-09-30T09:45:00+00:00
BK-0100,45.00,paypal,succeeded,2026-09-30T19:45:00+00:00
BK-0101,170.00,credit_card,succeeded,2026-09-25T17:15:00+00:00
BK-0102,90.00,paypal,succeeded,2026-09-25T17:15:00+00:00
BK-0103,90.00,debit_card,succeeded,2026-09-25T17:00:00+00:00
BK-0104,45.00,paypal,succeeded,2026-09-26T15:30:00+00:00
BK-0105,45.00,credit_card,succeeded,2026-09-26T20:15:00+00:00
BK-0106,45.00,debit_card,succeeded,2026-09-27T16:30:00+00:00
BK-0107,45.00,debit_card,succeeded,2026-09-27T14:15:00+00:00
BK-0108,260.00,paypal,succeeded,2026-09-27T17:30:00+00:00
