venue_name,event_title,seat_row,seat_number,price
Waterfront Arena,Autumn Jazz Night,A,1,150.00
Waterfront Arena,Autumn Jazz Night,A,2,150.00
Waterfront Arena,Autumn Jazz Night,B,1,80.00
Waterfront Arena,Autumn Jazz Night,B,2,80.00
Old Town Hall,Chamber Orchestra Evening,A,1,120.00
Old Town Hall,Chamber Orchestra Evening,B,1,65.00
Riverside Theatre,Shakespeare Revisited,A,1,95.00
Riverside Theatre,Shakespeare Revisited,B,1,55.00
Liberty Pavilion,Broadway Night,A,1,180.00
Sunset Bowl,Summer Sunset Sessions,A,1,140.00
Tokyo Grand Hall,Samba Sunset Festival,A,1,170.00
Tokyo Grand Hall,Samba Sunset Festival,A,2,170.00
Tokyo Grand Hall,Samba Sunset Festival,B,1,90.00
Tokyo Grand Hall,Samba Sunset Festival,B,2,90.00
Tokyo Grand Hall,Samba Sunset Festival,B,3,90.00
Tokyo Grand Hall,Samba Sunset Festival,B,4,90.00
Tokyo Grand Hall,Samba Sunset Festival,C,1,45.00
Tokyo Grand Hall,Samba Sunset Festival,C,2,45.00
Tokyo Grand Hall,Samba Sunset Festival,C,3,45.00
Tokyo Grand Hall,Samba Sunset Festival,C,4,45.00
Tokyo Grand Hall,Mumbai Unplugged,A,1,170.00
Tokyo Grand Hall,Mumbai Unplugged,A,2,170.00
Tokyo Grand Hall,Mumbai Unplugged,B,1,90.00
Tokyo Grand Hall,Mumbai Unplugged,B,2,90.00
Tokyo Grand Hall,Mumbai Unplugged,B,3,90.00
Tokyo Grand Hall,Mumbai Unplugged,B,4,90.00
Tokyo Grand Hall,Mumbai Unplugged,C,1,45.00
Tokyo Grand Hall,Mumbai Unplugged,C,2,45.00
Tokyo Grand Hall,Mumbai Unplugged,C,3,45.00
Tokyo Grand Hall,Mumbai Unplugged,C,4,45.00
Tokyo Grand Hall,Jazz sous les Etoiles,A,1,170.00
Tokyo Grand Hall,Jazz sous les Etoiles,A,2,170.00
Tokyo Grand Hall,Jazz sous les Etoiles,B,1,90.00
Tokyo Grand Hall,Jazz sous les Etoiles,B,2,90.00
Tokyo Grand Hall,Jazz sous les Etoiles,B,3,90.00
Tokyo Grand Hall,Jazz sous les Etoiles,B,4,90.00
Tokyo Grand Hall,Jazz sous les Etoiles,C,1,45.00
Tokyo Grand Hall,Jazz sous les Etoiles,C,2,45.00
Tokyo Grand Hall,Jazz sous les Etoiles,C,3,45.00
Tokyo Grand Hall,Jazz sous les Etoiles,C,4,45.00
Tokyo Grand Hall,Cape Sunset Serenade,A,1,170.00
Tokyo Grand Hall,Cape Sunset Serenade,A,2,170.00
Tokyo Grand Hall,Cape Sunset Serenade,B,1,90.00
Tokyo Grand Hall,Cape Sunset Serenade,B,2,90.00
Tokyo Grand Hall,Cape Sunset Serenade,B,3,90.00
Tokyo Grand Hall,Cape Sunset Serenade,B,4,90.00
Tokyo Grand Hall,Cape Sunset Serenade,C,1,45.00
Tokyo Grand Hall,Cape Sunset Serenade,C,2,45.00
Tokyo Grand Hall,Cape Sunset Serenade,C,3,45.00
Tokyo Grand Hall,Cape Sunset Serenade,C,4,45.00
Paris Opera Court,Harbourfront Big Band,A,1,170.00
Paris Opera Court,Harbourfront Big Band,A,2,170.00
Paris Opera Court,Harbourfront Big Band,B,1,90.00
Paris Opera Court,Harbourfront Big Band,B,2,90.00
Paris Opera Court,Harbourfront Big Band,B,3,90.00
Paris Opera Court,Harbourfront Big Band,B,4,90.00
Paris Opera Court,Harbourfront Big Band,C,1,45.00
Paris Opera Court,Harbourfront Big Band,C,2,45.00
Paris Opera Court,Harbourfront Big Band,C,3,45.00
Paris Opera Court,Harbourfront Big Band,C,4,45.00
Paris Opera Court,Parisian Cabaret Night,A,1,170.00
Paris Opera Court,Parisian Cabaret Night,A,2,170.00
Paris Opera Court,Parisian Cabaret Night,B,1,90.00
Paris Opera Court,Parisian Cabaret Night,B,2,90.00
Paris Opera Court,Parisian Cabaret Night,B,3,90.00
Paris Opera Court,Parisian Cabaret Night,B,4,90.00
Paris Opera Court,Parisian Cabaret Night,C,1,45.00
Paris Opera Court,Parisian Cabaret Night,C,2,45.00
Paris Opera Court,Parisian Cabaret Night,C,3,45.00
Paris Opera Court,Parisian Cabaret Night,C,4,45.00
Paris Opera Court,Southern Skies Concert,A,1,170.00
Paris Opera Court,Southern Skies Concert,A,2,170.00
Paris Opera Court,Southern Skies Concert,B,1,90.00
Paris Opera Court,Southern Skies Concert,B,2,90.00
Paris Opera Court,Southern Skies Concert,B,3,90.00
Paris Opera Court,Southern Skies Concert,B,4,90.00
Paris Opera Court,Southern Skies Concert,C,1,45.00
Paris Opera Court,Southern Skies Concert,C,2,45.00
Paris Opera Court,Southern Skies Concert,C,3,45.00
Paris Opera Court,Southern Skies Concert,C,4,45.00
Paris Opera Court,Bossa Nova Night,A,1,170.00
Paris Opera Court,Bossa Nova Night,A,2,170.00
Paris Opera Court,Bossa Nova Night,B,1,90.00
Paris Opera Court,Bossa Nova Night,B,2,90.00
Paris Opera Court,Bossa Nova Night,B,3,90.00
Paris Opera Court,Bossa Nova Night,B,4,90.00
Paris Opera Court,Bossa Nova Night,C,1,45.00
Paris Opera Court,Bossa Nova Night,C,2,45.00
Paris Opera Court,Bossa Nova Night,C,3,45.00
Paris Opera Court,Bossa Nova Night,C,4,45.00
Toronto Ice Dome,La Boheme Revival,A,1,170.00
Toronto Ice Dome,La Boheme Revival,A,2,170.00
Toronto Ice Dome,La Boheme Revival,B,1,90.00
Toronto Ice Dome,La Boheme Revival,B,2,90.00
Toronto Ice Dome,La Boheme Revival,B,3,90.00
Toronto Ice Dome,La Boheme Revival,B,4,90.00
Toronto Ice Dome,La Boheme Revival,C,1,45.00
Toronto Ice Dome,La Boheme Revival,C,2,45.00
Toronto Ice Dome,La Boheme Revival,C,3,45.00
Toronto Ice Dome,La Boheme Revival,C,4,45.00
Toronto Ice Dome,Arabian Nights Gala,A,1,170.00
Toronto Ice Dome,Arabian Nights Gala,A,2,170.00
Toronto Ice Dome,Arabian Nights Gala,B,1,90.00
Toronto Ice Dome,Arabian Nights Gala,B,2,90.00
Toronto Ice Dome,Arabian Nights Gala,B,3,90.00
Toronto Ice Dome,Arabian Nights Gala,B,4,90.00
Toronto Ice Dome,Arabian Nights Gala,C,1,45.00
Toronto Ice Dome,Arabian Nights Gala,C,2,45.00
Toronto Ice Dome,Arabian Nights Gala,C,3,45.00
